2013-10-06,92.506560000,92.506560000,88.700000000,89.000000000,3.482500000000
2013-10-07,89.000000000,107.000000000,88.800000000,94.559410000,19.692984780000
2013-10-08,90.500000000,95.000000000,89.029000000,95.000000000,45.059604920000
2013-10-09,94.000000000,96.500000000,90.200000000,91.600000000,28.501448260000
2013-10-10,95.039000000,96.172550000,91.609350000,95.000000000,8.163063240000
2013-10-11,90.000000000,94.962800000,90.000000000,91.500000000,13.479220300000
2013-10-12,94.200000000,94.200000000,94.200000000,94.200000000,5.253884220000
2013-10-13,94.980000000,96.500000000,94.980000000,96.500000000,22.370470000000
2013-10-14,99.500000000,101.000000000,84.000000000,84.000000000,10.071615930000
2013-10-15,100.000000000,101.000000000,100.000000000,100.010360000,3.516154070000
2013-10-16,100.010610000,107.500000000,100.010610000,104.989730000,25.220953780000
2013-10-17,108.979330000,108.989670000,105.000000000,105.000000000,49.438483610000
2013-10-18,105.090450000,112.000000000,105.090450000,111.000000000,23.405062570000
2013-10-19,111.500000000,123.486390000,111.500000000,123.486390000,7.293805840000
2013-10-20,121.500000000,121.500000000,121.300000000,121.300000000,0.020000000000
2013-10-21,122.000000000,131.429680000,122.000000000,130.000000000,22.740000000000
2013-10-22,130.200000000,140.350230000,130.200000000,137.000000000,15.962411540000
2013-10-23,139.000000000,148.900000000,135.027480000,148.900000000,63.858142690000
2013-10-24,149.000000000,150.000000000,86.000000000,140.446160000,57.494437380000
2013-10-25,136.400210000,139.781870000,124.910000000,135.156750000,58.793801780000
2013-10-26,136.821060000,159.000000000,129.603020000,130.000000000,28.367384040000
2013-10-27,131.956450000,140.554700000,131.956450000,138.957220000,13.546190000000
2013-10-28,140.540000000,140.540000000,140.540000000,140.540000000,0.590000000000
2013-10-29,144.000000000,149.800000000,143.100850000,148.503600000,20.818195550000
2013-10-30,149.800000000,149.800000000,145.000000000,149.713370000,34.125043760000
2013-10-31,149.713370000,150.000000000,145.057970000,150.000000000,27.444125820000
2013-11-01,150.000000000,153.000000000,150.000000000,153.000000000,8.627305950000
2013-11-02,151.450000000,154.000000000,150.000000000,154.000000000,51.976461560000
2013-11-03,152.000000000,154.000000000,148.545470000,154.000000000,14.618636900000
2013-11-04,154.500000000,170.000000000,152.000000000,170.000000000,45.098306440000
2013-11-05,171.018140000,188.000000000,168.000000000,184.982190000,56.226815650000
2013-11-06,185.000000000,257.320480000,185.000000000,200.000000000,81.015764110000
2013-11-07,203.000000000,255.978210000,203.000000000,230.246780000,110.184224530000
2013-11-08,225.000000000,274.000000000,222.000000000,273.500000000,79.099662780000
2013-11-09,273.500000000,290.000000000,244.500000000,247.133620000,121.072541310000
2013-11-10,247.000000000,252.315690000,204.637260000,240.000000000,112.501514260000
2013-11-11,240.000000000,272.100190000,240.000000000,253.500000000,106.275073920000
2013-11-12,265.000000000,282.974620000,256.000000000,265.000000000,93.267460300000
2013-11-13,265.000000000,310.000000000,264.992890000,299.100000000,176.912782980000
2013-11-14,300.000000000,320.000000000,300.000000000,309.999000000,125.080840190000
2013-11-15,310.500000000,330.000000000,302.953980000,314.000000000,137.645267280000
2013-11-16,318.000000000,332.000000000,315.000000000,330.750000000,59.138357320000
2013-11-17,330.000000000,374.080000000,330.000000000,360.000000000,110.161727500000
2013-11-18,369.950000000,499.000000000,366.000000000,498.000000000,246.369068740000
2013-11-19,498.000000000,551.799700000,370.000000000,440.000000000,406.296708350000
2013-11-20,439.500000000,475.000000000,370.000000000,468.900000000,385.764088540000
2013-11-21,469.000000000,550.000000000,444.110000000,530.000010000,265.330647340000
2013-11-22,543.500000000,597.640160000,526.000000000,594.900000000,248.715586710000
2013-11-23,591.000000000,650.500000000,575.000000000,620.100000000,236.798809660000
2013-11-24,628.000300000,639.971100000,568.847530000,604.899990000,140.736618750000
2013-11-25,604.900000000,627.000000000,586.000000000,607.999950000,275.021947720000
2013-11-26,607.000020000,679.988960000,607.000000000,679.988960000,270.508341620000
2013-11-27,677.000000000,750.000000000,658.999990000,746.000000000,520.022406120000
2013-11-28,741.000010000,829.000000000,660.000000000,814.000000000,459.772328610000
2013-11-29,813.139970000,872.900000000,760.000000000,850.499990000,363.953514920000
2013-11-30,849.980000000,871.426690000,839.999950000,846.000020000,197.227717470000
2013-12-01,846.000020000,846.000020000,583.838720000,730.000020000,728.916277710000
2013-12-02,730.000000000,778.609700000,705.121200000,767.000070000,342.238923260000
2013-12-03,771.799990000,815.000000000,747.100000000,787.900000000,291.614542950000
2013-12-04,789.999990000,845.990000000,775.912840000,828.500000000,251.111993510000
2013-12-05,828.500000000,844.900000000,676.000000000,777.999940000,816.192018-660000
2013-12-06,777.000000000,789.300000000,601.000000000,631.999960000,810.777055770000
2013-12-07,630.000020000,739.980000000,432.000000000,519.000000000,1193.743258020000
2013-12-08,520.472910000,605.000000000,501.234500000,605.000000000,353.774858770000
2013-12-09,602.999990000,690.000000000,585.000000000,667.706660000,494.419714180000
2013-12-10,667.020000000,714.990000000,659.130010000,706.000000000,492.112706850000
2013-12-11,706.500000000,708.499990000,603.000000000,652.626790000,566.560939710000
2013-12-12,652.700040000,669.910000000,610.100000000,639.554850000,146.142705850000
2013-12-13,639.494830000,669.987000000,618.156120000,641.707680000,346.109830220000
2013-12-14,641.650650000,643.000000000,620.100000000,628.400010000,127.581418660000
2013-12-15,631.987500000,635.000000000,605.000000000,629.260010000,231.539933820000
2013-12-16,630.000000000,634.600000000,490.000010000,519.000000000,1077.620795380000
2013-12-17,519.000000000,550.000000000,484.739520000,503.412260000,659.081728310000
