Date,Open,High,Low,Close,Volume
09-06-16,118.13,118.68,117.71,118.56,13859240
10-06-16,117.54,118.11,116.26,116.62,18510826
13-06-16,115.00,115.48,113.31,113.95,31718239
14-06-16,114.07,114.95,113.58,114.94,17618479
15-06-16,115.30,115.44,114.07,114.60,19819432
16-06-16,113.87,114.50,112.94,114.39,19236255
17-06-16,114.42,114.43,112.56,113.02,24644308
20-06-16,113.77,114.72,112.75,113.37,20785390
21-06-16,114.12,115.21,113.97,114.38,19166269
22-06-16,114.65,114.74,113.61,113.91,14846329
23-06-16,114.37,115.09,113.54,115.08,16176895
24-06-16,111.01,113.68,111.00,112.08,40643130
27-06-16,111.57,111.57,108.23,108.97,36409606
28-06-16,110.63,112.75,110.55,112.70,26813842
29-06-16,113.37,114.25,113.04,114.16,20968273
30-06-16,114.67,115.18,113.67,114.28,23192716
01-07-16,114.20,115.13,113.81,114.19,14980023
05-07-16,113.94,114.11,112.97,114.00,14207037
06-07-16,113.36,116.79,112.97,116.70,24337586
07-07-16,116.63,116.97,115.36,115.85,16630201
08-07-16,116.43,117.50,115.85,117.24,18142597
11-07-16,117.71,118.70,117.50,117.87,17711570
12-07-16,118.63,118.72,117.57,117.93,15217700
13-07-16,118.39,118.40,116.68,116.78,16207662
14-07-16,117.50,117.64,116.70,117.29,14579736
15-07-16,117.74,118.28,116.58,116.86,16645964
18-07-16,117.32,119.61,116.89,119.37,20868367
19-07-16,118.99,120.85,118.66,120.61,21541292
20-07-16,121.25,122.20,120.56,121.92,20046452
21-07-16,121.92,122.10,120.25,120.61,17801663
22-07-16,119.90,121.01,119.31,121.00,18422410
25-07-16,121.39,121.85,117.78,121.63,18487449
26-07-16,122.00,122.07,120.75,121.22,17611964
27-07-16,122.42,125.00,121.51,123.34,52654239
28-07-16,127.52,128.33,123.63,125.00,78955758
29-07-16,124.65,125.84,123.71,123.94,35058803
01-08-16,123.85,124.58,122.86,124.31,25006850
02-08-16,124.06,124.80,122.07,123.09,23968414
03-08-16,123.09,123.92,122.31,122.51,18525332
04-08-16,122.94,124.79,122.51,124.36,21065974
05-08-16,124.98,125.84,124.62,125.15,20184035
08-08-16,125.25,125.45,124.55,125.26,15233929
09-08-16,125.34,126.09,124.53,125.06,19620967
10-08-16,125.07,125.48,124.54,124.88,10670148
11-08-16,125.20,125.38,124.75,124.90,11729519
12-08-16,124.70,125.00,124.18,124.88,12158955
15-08-16,124.91,124.92,123.70,123.90,19295130
16-08-16,123.50,123.92,122.78,123.30,14222410
17-08-16,123.66,124.38,122.85,124.37,13794179
18-08-16,124.01,124.26,123.64,123.91,12400816
19-08-16,123.60,124.16,123.28,123.56,11688265
22-08-16,123.33,124.83,123.11,124.15,14386361
23-08-16,124.51,125.09,124.25,124.37,13309452
24-08-16,124.47,124.69,123.09,123.48,12243719
25-08-16,123.12,124.37,123.10,123.89,10730811
26-08-16,124.05,125.19,123.91,124.96,17504825
29-08-16,124.35,126.73,124.35,126.54,15925900
30-08-16,126.60,126.60,125.15,125.84,17804286
31-08-16,125.60,126.22,125.10,126.12,14200636
01-09-16,126.38,126.63,125.60,126.17,13536125
02-09-16,126.85,126.86,126.00,126.51,12118773
06-09-16,126.67,129.94,126.47,129.73,26278407
07-09-16,130.04,131.98,129.95,131.05,27990796
08-09-16,130.92,131.08,129.81,130.27,15676595
09-09-16,129.71,129.95,127.10,127.10,27100679
12-09-16,125.96,128.76,125.75,128.69,21252752
13-09-16,128.03,128.35,126.66,127.21,18016152
14-09-16,126.89,128.80,126.89,127.77,15720388
15-09-16,127.98,129.10,127.67,128.35,15111838
16-09-16,128.20,129.18,128.20,129.07,24119174
19-09-16,129.91,129.94,128.26,128.65,14958794
20-09-16,128.65,129.17,128.03,128.64,11083808
21-09-16,129.13,130.00,128.39,129.94,14068336
22-09-16,130.50,130.73,129.56,130.08,15538307
23-09-16,127.56,128.60,127.30,127.96,28326266
26-09-16,127.37,128.16,126.80,127.31,15064940
27-09-16,127.61,129.01,127.43,128.69,15637111
28-09-16,129.21,129.47,128.40,129.23,12047636
29-09-16,129.18,129.29,127.55,128.09,14532241
30-09-16,128.03,128.59,127.45,128.27,18402945
03-10-16,128.38,129.09,127.80,128.77,13156943
04-10-16,129.17,129.28,127.55,128.19,14307548
05-10-16,128.25,128.80,127.83,128.47,12386753
06-10-16,128.43,129.06,128.08,128.74,11682729
07-10-16,129.04,129.25,128.33,128.99,12804420
10-10-16,129.68,130.70,129.20,130.24,15138720
11-10-16,130.23,130.64,128.23,128.88,17537928
12-10-16,129.01,129.66,128.46,129.05,11072991
13-10-16,128.21,128.25,126.75,127.82,17139306
14-10-16,128.49,128.95,127.58,127.88,13345292
17-10-16,128.20,128.47,127.32,127.54,11351681
18-10-16,128.68,129.39,128.01,128.57,13503967
19-10-16,128.74,130.47,128.60,130.11,16752321
20-10-16,130.07,130.66,129.50,130.00,13167503
21-10-16,129.78,132.13,129.70,132.07,19088794
24-10-16,132.72,133.40,132.15,133.28,17470227
25-10-16,133.50,133.50,132.22,132.29,13336787
26-10-16,131.64,132.26,130.94,131.04,13084731
27-10-16,131.74,131.80,129.27,129.69,16741393
28-10-16,130.50,132.97,129.93,131.29,24545547
